recipe_id,ingredient_name
2870642,tomato paste
2870642,prawns
2870642,Fresno chillies
2870642,coconut chips
2870642,datterini tomatoes
2870642,
2870643,dill
2870643,dukkah
2870643,lemons
2870643,tahini
2870643,tomato paste
2870643,Greek yoghurt
2870643,chicken stock
2870643,celeriac
2870643,Jap pumpkins
2870643,tinned chickpeas
2870643,rose harissa
2870643,russet potatoes
2870643,
2870644,dill
2870644,garlic
2870644,lemons
2870644,red onions
2870644,sumac
2870644,sultanas
2870644,rainbow chard
2870644,
2870645,rice flour
2870645,nigella seeds
2870645,tahini
2870645,apple cider vinegar
2870645,Greek yoghurt
2870645,pine nuts
2870645,potatoes
2870645,smoked paprika
2870645,blanched almonds
2870645,Urfa chilli flakes
2870645,coriander stems
2870645,
2870649,shallots
2870649,coriander leaves
2870649,coconut
2870649,coriander seeds
2870649,cucumbers
2870649,fennel seeds
2870649,fish sauce
2870649,fresh ginger
2870649,grapefruits
2870649,limes
2870649,oranges
2870649,turmeric
2870649,Fresno chillies
2870649,little gem lettuce
2870649,
2870650,sesame seeds
2870650,soy sauce
2870650,avocados
2870650,carrots
2870650,fresh ginger
2870650,honey
2870650,limes
2870650,red onions
2870650,rice vinegar
2870650,Thai basil
2870650,white miso
2870650,Lebanese cucumbers
2870650,toasted sesame oil
2870650,
2870651,arugula
2870651,garlic
2870651,lemons
2870651,parsley
2870651,thyme
2870651,pine nuts
2870651,chicken stock
2870651,halloumi
2870651,serrano chillies
2870651,gemelli pasta
2870651,tinned cannellini beans
2870651,
2870652,cinnamon sticks
2870652,ground cinnamon
2870652,ground coriander
2870652,dill
2870652,dried figs
2870652,garlic
2870652,fresh ginger
2870652,lamb shoulder
2870652,lemons
2870652,onions
2870652,parsley
2870652,turmeric
2870652,apple cider vinegar
2870652,cardamom pods
2870652,chicken stock
2870652,pistachios
2870652,
2870655,caraway seeds
2870655,heavy cream
2870655,kohlrabi
2870655,oranges
2870655,parsley
2870655,tarragon
2870655,tomato paste
2870655,blanched hazelnuts
