recipe_id,category_name
2865620,Quick / easy
2865620,Rice dishes
2865620,Soups
2865622,Vegetarian
2865622,Cooking for 1 or 2
2865622,Quick / easy
2865622,Fried doughs
2865622,Main course
2865624,Quick / easy
2865624,Rice dishes
2865624,Stews & one-pot meals
2865624,Cajun & Creole
2865624,Main course
2865627,"Pies, tarts & pastries"
2865627,Quick / easy
2865627,Main course
2865630,Soups
2865630,Quick / easy
2865633,Quick / easy
2865633,Rice dishes
2865633,Stews & one-pot meals
2865633,Main course
2865634,Stews & one-pot meals
2865634,Quick / easy
2865634,Main course
2865635,Cooking for 1 or 2
2865635,Quick / easy
2865635,Stews & one-pot meals
2865635,Main course
2865639,Quick / easy
2865639,Stews & one-pot meals
2865639,Main course
2865641,Stews & one-pot meals
2865641,Quick / easy
2865641,Main course
2865644,Quick / easy
2865644,Stews & one-pot meals
2865644,Main course
2865646,Quick / easy
2865646,Stews & one-pot meals
2865646,Main course
2865648,Salads
2865648,Quick / easy
2865648,American
2865648,Main course
2865653,Cooking for 1 or 2
2865653,Quick / easy
2865653,"Pasta, doughs & sauces"
2865653,Main course
2865655,Cooking for 1 or 2
2865655,Quick / easy
2865655,Stews & one-pot meals
2865655,Main course
2865657,Stews & one-pot meals
2865657,Quick / easy
2865657,Rice dishes
2865657,Main course
2865659,Entertaining & parties
2865659,Quick / easy
2865659,Stews & one-pot meals
2865659,Main course
2865853,Vegetarian
2865853,Egg dishes
2865853,Quick / easy
2865853,Main course
2865854,Vegetarian
2865854,Egg dishes
2865854,Quick / easy
2865854,Spanish
2865854,Main course
2865855,Vegetarian
2865855,Egg dishes
2865855,Quick / easy
2865855,Sandwiches & burgers
2865855,Main course
2865856,Cooking for 1 or 2
2865856,Egg dishes
2865856,Quick / easy
2865856,Middle Eastern
2865856,Main course
2865857,Vegetarian
2865857,Cooking for 1 or 2
2865857,Egg dishes
2865857,Quick / easy
2865857,Middle Eastern
2865857,Main course
2865858,Vegetarian
2865858,Cooking for 1 or 2
2865858,Egg dishes
2865858,Quick / easy
2865858,Middle Eastern
2865858,Main course
2865859,Cooking for 1 or 2
2865859,Egg dishes
2865859,Quick / easy
2865859,Middle Eastern
2865859,Main course
2865860,Vegetarian
2865860,Cooking for 1 or 2
2865860,Egg dishes
2865860,Quick / easy
2865860,Middle Eastern
2865860,Main course
2865861,Vegetarian
2865861,"Pasta, doughs & sauces"
2865861,Quick / easy
2865861,Egg dishes
2865861,Italian
2865861,Main course
2865862,Cooking for 1 or 2
2865862,Quick / easy
2865862,Rice dishes
2865862,Egg dishes
2865862,Main course
2865863,Quick / easy
2865863,Sandwiches & burgers
2865863,Main course
2865864,Vegetarian
2865864,Quick / easy
2865864,Sandwiches & burgers
2865864,Main course
2865865,Vegetarian
2865865,Fried doughs
2865865,Quick / easy
2865865,Main course
2865866,Cooking for 1 or 2
2865866,Quick / easy
2865866,Sandwiches & burgers
2865866,Main course
2865867,Vegetarian
2865867,Cooking for 1 or 2
2865867,Quick / easy
2865867,Sandwiches & burgers
2865867,Italian
2865867,Main course
2865868,Cooking for 1 or 2
2865868,Quick / easy
2865868,Sandwiches & burgers
2865868,Main course
2865870,Cooking for 1 or 2
2865870,"Bread & rolls, savory"
2865870,Quick / easy
2865869,Cooking for 1 or 2
2865869,Stuffing
2865869,Quick / easy
2865871,Cooking for 1 or 2
2865871,Quick / easy
2865871,Stuffing
2865872,Vegetarian
2865872,Cooking for 1 or 2
2865872,Quick / easy
2865872,Stuffing
2865873,Vegetarian
2865873,Cooking for 1 or 2
2865873,Quick / easy
2865873,Sandwiches & burgers
2865873,Lunch
2865873,Snacks
2865885,Cooking for 1 or 2
2865885,Quick / easy
2865885,Stews & one-pot meals
2865885,Main course
2865887,"Pies, tarts & pastries"
2865887,Quick / easy
2865887,Main course
2865888,"Dips, spreads & salsas"
2865888,Quick / easy
2865888,Main course
2865889,Cooking for 1 or 2
2865889,"Pasta, doughs & sauces"
2865889,Quick / easy
2865889,Main course
2865891,Cooking for 1 or 2
2865891,Quick / easy
2865891,Salads
2865891,Main course
2865892,"Pies, tarts & pastries"
2865892,Quick / easy
2865892,Main course
2865906,Cooking for 1 or 2
2865906,Quick / easy
2865906,Soups
2865906,Malaysian
2865908,Cooking for 1 or 2
2865908,Quick / easy
2865908,Main course
2865909,Cooking for 1 or 2
2865909,Quick / easy
2865909,Main course
2865910,Cooking for 1 or 2
2865910,Quick / easy
2865910,"Pasta, doughs & sauces"
2865910,Main course
2865911,Cooking for 1 or 2
2865911,Quick / easy
2865911,Main course
2865913,Cooking for 1 or 2
2865913,"Pancakes, waffles & crêpes"
2865913,Quick / easy
2865913,Main course
2865914,Cooking for 1 or 2
2865914,Quick / easy
2865914,Stews & one-pot meals
2865914,Main course
2865916,Cooking for 1 or 2
2865916,Egg dishes
2865916,Quick / easy
2865916,Rice dishes
2865916,Main course
2865917,Cooking for 1 or 2
2865917,Quick / easy
2865917,Main course
2866015,Quick / easy
2866015,Sandwiches & burgers
2866015,Mexican
2866015,Main course
2866018,Cooking for 1 or 2
2866018,Quick / easy
2866018,Stews & one-pot meals
2866018,Cuban
2866018,Main course
2866019,Cooking for 1 or 2
2866019,Egg dishes
2866019,Quick / easy
2866019,Rice dishes
2866019,Scottish
2866019,Main course
2866020,Cooking for 1 or 2
2866020,Quick / easy
2866020,Sauces for fish
2866020,Main course
2866021,Cooking for 1 or 2
2866021,Quick / easy
2866021,Sauces for fish
2866021,Main course
2866022,Cooking for 1 or 2
2866022,Quick / easy
2866022,Main course
2866023,Quick / easy
2866023,Main course
2866024,Quick / easy
2866024,Stews & one-pot meals
2866024,Main course
2866026,Quick / easy
2866026,Main course
2866027,Quick / easy
2866027,Main course
2866064,Quick / easy
2866064,Stews & one-pot meals
2866064,Main course
2866066,Quick / easy
2866066,Main course
2866069,Cooking for 1 or 2
2866069,Quick / easy
2866069,Main course
2866072,Cooking for 1 or 2
2866072,Quick / easy
2866072,Main course
2866074,Cooking for 1 or 2
2866074,Quick / easy
2866074,Main course
2866076,Cooking for 1 or 2
2866076,Quick / easy
2866076,Rice dishes
2866076,Main course
2866077,Quick / easy
2866077,Rice dishes
2866077,Main course
2866079,Quick / easy
2866079,Stews & one-pot meals
2866079,Main course
2866081,Quick / easy
2866081,Stews & one-pot meals
