image_url,recipe_id
https://images.eatsmarter.com/sites/default/files/styles/576x432/public/zucchini-with-bow-tie-pasta-469853.jpg,2182309
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/pasta-with-ham-peas-and-25064l1.jpg,25064
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/yellow-spaghetti-929506l1.jpg,929506
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4163_12-6200131.jpg?quality=90&webp=true,255881
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/tagliatelle-with-walnuts-and-lemon-1353525l1.jpg,1353525
https://www.chiselandfork.com/wp-content/uploads/2017/11/mini-ham-and-cheese-quiche-1.jpg,473431
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1163545_10-1979ff6.jpg,1546116
https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/3131FF5B-5D9A-47A2-9980-FCD04D911DA8/Derivates/8BAB1A84-AFAC-4D18-84A1-04443A1DAB60.jpg,472451
https://www.thesun.co.uk/wp-content/uploads/2019/08/NINTCHDBPICT000513925689.jpg,2182309
https://i.guim.co.uk/img/media/474002905ef9ae8525fbdbf2ee7f74c9bc5ea28d/0_145_7006_4203/master/7006.jpg?width=1900&dpr=2&s=none,2142903
https://www.thesun.co.uk/wp-content/uploads/2019/08/NINTCHDBPICT000513925585.jpg,2182301
https://www.thesun.co.uk/wp-content/uploads/2019/08/NINTCHDBPICT000513516779-1.jpg?w=1240,2142903
https://img.jamieoliver.com/jamieoliver/recipe-database/89080982.jpg,1852591
https://www.allrecipes.com/thmb/kxp1wUHWwl8d51jxHZzXEu2cKqY=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/4560835-254bca89d64d46ac8ff96c1f7c63e737.jpg,471736
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/chocolate-cloud-cake-200606l1.jpg,200606
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/pea-soup-254094l1.jpg,254094
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/slow-roasted-garlic-and-lemon-230859l1.jpg,230859
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/badam-cheesecake-3167905l1.jpg,3167905
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/cardamom-milk-traybake-3167903l1.jpg,3167903
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/kulfi-ice-cream-bars-3167908l1.jpg,3167908
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/milk-fudge-flapjack-3167917l1.jpg,3167917
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/salmon-in-a-bag-2865908l1.jpg,2865908
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/stewed-pineapples-3167912l1.jpg,3167912
https://716f24d81edeb11608aa-99aa5ccfecf745e7cf976b37d172ce54.ssl.cf1.rackcdn.com/sweet-filled-shortbread-wedges-3167921l1.jpg,3167921
